PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Temperatura,2004,-25.75,-48.75,22.05,22.31,21.58,21.51,16.66,16.28,15.54,16.31,19.34,18.39,20.49,21.57,19.32
Temperatura,2004,-25.75,-49.25,20.48,20.57,19.84,19.43,14.27,14.13,13.23,14.8,18.22,17.12,18.93,19.94,17.56
Temperatura,2004,-25.75,-49.75,20.97,21.01,20.27,19.46,13.81,13.55,12.83,14.7,18.59,17.47,19.12,20.22,17.65
Temperatura,2004,-25.75,-50.25,21.62,21.58,20.8,19.82,13.85,13.37,12.91,14.75,18.95,17.98,19.54,20.71,17.97
Temperatura,2004,-25.75,-50.75,21.39,21.18,20.39,19.55,13.55,13.01,12.72,14.37,18.57,17.83,19.32,20.43,17.67
Temperatura,2004,-25.75,-51.25,20.07,19.64,18.99,18.53,12.7,12.49,12.16,13.6,17.45,16.85,18.24,19.14,16.64
Temperatura,2004,-25.75,-51.75,20.85,20.21,19.74,19.06,13.05,12.87,12.53,13.86,17.88,17.35,18.71,19.86,17.15
Temperatura,2004,-25.75,-52.25,22.0,21.29,20.83,19.94,13.73,13.68,13.31,14.53,18.58,18.17,19.55,20.98,18.03
Temperatura,2004,-25.75,-52.75,23.14,22.38,21.88,20.81,14.39,14.42,13.95,15.14,19.21,18.94,20.33,22.14,18.88
Temperatura,2004,-25.75,-53.25,24.08,23.39,22.89,21.64,14.89,14.98,14.35,15.58,19.7,19.55,20.91,23.21,19.58
Temperatura,2004,-25.75,-53.75,24.83,24.62,24.2,22.78,15.37,15.67,14.81,16.09,20.25,20.19,21.39,24.31,20.36
Temperatura,2004,-25.75,-54.25,26.27,26.2,26.1,24.3,16.11,16.52,15.62,16.7,21.22,21.5,22.43,26.15,21.57
Temperatura,2004,-25.75,-54.75,26.39,26.42,26.84,24.77,16.18,16.58,15.54,16.55,21.07,21.62,22.6,26.16,21.7
Temperatura,2004,-25.75,-55.25,26.07,25.99,26.86,24.78,16.02,16.57,15.43,16.43,20.89,21.44,22.46,25.44,21.51
Temperatura,2004,-25.75,-55.75,25.95,25.64,26.66,24.76,15.91,16.81,15.61,16.61,21.11,21.52,22.42,24.79,21.46
Temperatura,2004,-25.75,-56.25,26.42,26.05,26.68,24.98,16.02,17.17,15.82,16.93,21.49,22.01,22.76,24.71,21.73
Temperatura,2004,-25.75,-56.75,26.72,26.4,26.58,24.99,15.81,17.27,15.95,17.23,21.86,22.45,22.78,24.51,21.86
Temperatura,2004,-26.25,-48.75,23.06,23.39,22.69,22.51,17.54,16.93,16.22,16.83,19.72,18.95,21.14,22.4,20.1
Temperatura,2004,-26.25,-49.25,20.97,21.13,20.34,19.94,14.77,14.66,13.61,14.94,18.17,17.23,19.17,20.23,17.91
